LOSS  - MODEL PARAMS - ACTIVATION - LAYERS - NODES - FINAL_LAYER_ACTIVATION
([0.08140706510663033, 0.21753258982658386], 'selu', 5, 6, 'linear')
([0.039730306197553876, 0.14614089112758635], 'selu', 5, 7, 'linear')
([0.05065300074979663, 0.15983847409129143], 'selu', 5, 8, 'linear')
([0.042640690821707246, 0.14824447095632554], 'selu', 5, 9, 'linear')
([0.056293992022275925, 0.17642330949544907], 'tanh', 1, 1, 'softmax')
([0.059976120555102826, 0.1788346305012703], 'tanh', 1, 2, 'softmax')
([0.06628288770265878, 0.17479752888083458], 'tanh', 1, 3, 'softmax')
([0.05308910941891372, 0.15764774497032166], 'tanh', 1, 4, 'softmax')
([0.05745448101572692, 0.16727243450522422], 'tanh', 1, 5, 'softmax')
([0.05002389185391366, 0.15585535458803176], 'tanh', 1, 6, 'softmax')
([0.04706314590267837, 0.14958349409341812], 'tanh', 1, 7, 'softmax')
([0.050221498027443884, 0.15316730410456658], 'tanh', 1, 8, 'softmax')
([0.053347358741387726, 0.15891117069363594], 'tanh', 1, 9, 'softmax')
([0.05107124199360609, 0.16278870181322097], 'tanh', 2, 1, 'softmax')
([0.049596306733191015, 0.15781058860301972], 'tanh', 2, 2, 'softmax')
([0.05175301485791802, 0.1596966085922718], 'tanh', 2, 3, 'softmax')
([0.061796403753384944, 0.16103779042720795], 'tanh', 2, 4, 'softmax')
([0.04797659105248749, 0.14128871198654175], 'tanh', 2, 5, 'softmax')
([0.052819795035347346, 0.1589430215537548], 'tanh', 2, 6, 'softmax')
([0.040389738894924525, 0.12647019680380822], 'tanh', 2, 7, 'softmax')
([0.060376765528032554, 0.14330983923643828], 'tanh', 2, 8, 'softmax')
([0.018437999529168008, 0.07472545180082321], 'tanh', 2, 9, 'softmax')
([0.05497010458648205, 0.16336665082931517], 'tanh', 3, 1, 'softmax')
([0.04908807322248816, 0.15569907680392264], 'tanh', 3, 2, 'softmax')
([0.037812862786576154, 0.130611338609457], 'tanh', 3, 3, 'softmax')
([0.044532787222713234, 0.14650604821443558], 'tanh', 3, 4, 'softmax')
([0.055639002442136404, 0.1602280559039116], 'tanh', 3, 5, 'softmax')
([0.047849148090556265, 0.14441530840992928], 'tanh', 3, 6, 'softmax')
([0.045688503696992996, 0.1441104828095436], 'tanh', 3, 7, 'softmax')
([0.037446836644932625, 0.12865791854500772], 'tanh', 3, 8, 'softmax')
([0.051986282940804956, 0.15466952503442763], 'tanh', 3, 9, 'softmax')
([0.058545437676906585, 0.17811020990371704], 'tanh', 4, 1, 'softmax')
([0.05486825974427163, 0.16492320839762686], 'tanh', 4, 2, 'softmax')
([0.04391585782125592, 0.13569608437657357], 'tanh', 4, 3, 'softmax')
([0.028229604907408355, 0.11406300318717956], 'tanh', 4, 4, 'softmax')
([0.04617268590554595, 0.144323689391613], 'tanh', 4, 5, 'softmax')
([0.04837370604928583, 0.14206382535457612], 'tanh', 4, 6, 'softmax')
([0.05312352945894003, 0.15124361334204675], 'tanh', 4, 7, 'softmax')
([0.06232395970985293, 0.1598788880109787], 'tanh', 4, 8, 'softmax')
([0.06056255364015698, 0.1481947182238102], 'tanh', 4, 9, 'softmax')
([0.049790588199794296, 0.1608396184372902], 'tanh', 5, 1, 'softmax')
([0.05082837858743965, 0.14431294234752656], 'tanh', 5, 2, 'softmax')
([0.04358789938822389, 0.13863153395175934], 'tanh', 5, 3, 'softmax')
([0.05264776800841093, 0.15222362833857536], 'tanh', 5, 4, 'softmax')
([0.043329773667305706, 0.14014206685185432], 'tanh', 5, 5, 'softmax')
([0.03783546009995043, 0.13214582054138183], 'tanh', 5, 6, 'softmax')
([0.04233726481497288, 0.13546500124692917], 'tanh', 5, 7, 'softmax')
([0.04510230249816552, 0.13086872043669223], 'tanh', 5, 8, 'softmax')
([0.04998291661441326, 0.13903974410176276], 'tanh', 5, 9, 'softmax')
([0.06740680549860001, 0.21159253859519958], 'relu', 1, 1, 'softmax')
([0.055608393330741676, 0.15997571764230728], 'relu', 1, 2, 'softmax')
([0.057251221434623, 0.17222718716025354], 'relu', 1, 3, 'softmax')
([0.036674625616148114, 0.12413680147767067], 'relu', 1, 4, 'softmax')
([0.0586390926502645, 0.16843034864664078], 'relu', 1, 5, 'softmax')
([0.05374115485640243, 0.1534395557266474], 'relu', 1, 6, 'softmax')
([0.03419261264340952, 0.12085384931147099], 'relu', 1, 7, 'softmax')
([0.03658293834310025, 0.12677609169363976], 'relu', 1, 8, 'softmax')
([0.031659841871112586, 0.10834601599782705], 'relu', 1, 9, 'softmax')
([0.07141769762754441, 0.21311469449996948], 'relu', 2, 1, 'softmax')
([0.059083144910037515, 0.16528541260123253], 'relu', 2, 2, 'softmax')
([0.039025546343550085, 0.11871371141910553], 'relu', 2, 3, 'softmax')
([0.04482631182819605, 0.13740183597445488], 'relu', 2, 4, 'softmax')
([0.022980241507701577, 0.06587037639081478], 'relu', 2, 5, 'softmax')
([0.034142264756655785, 0.08834023869141937], 'relu', 2, 6, 'softmax')
([0.014511354168641846, 0.04499687340006232], 'relu', 2, 7, 'softmax')
([0.05842214469447732, 0.17067460085451602], 'relu', 2, 8, 'softmax')
([0.021094110755641014, 0.053889129065573214], 'relu', 2, 9, 'softmax')
([0.07141769138455391, 0.2131146663236618], 'relu', 3, 1, 'softmax')
([0.07145884224891663, 0.2131919117450714], 'relu', 3, 2, 'softmax')
([0.07141769762754441, 0.21311469449996948], 'relu', 3, 3, 'softmax')
([0.03702105487421155, 0.11490769000709057], 'relu', 3, 4, 'softmax')
([0.02903346806829635, 0.06870562299627811], 'relu', 3, 5, 'softmax')
([0.03328969314092889, 0.06393650409924333], 'relu', 3, 6, 'softmax')
([0.021628181517153424, 0.059249097042698415], 'relu', 3, 7, 'softmax')
([0.02797562707806559, 0.06827093495149165], 'relu', 3, 8, 'softmax')
([0.06169764120766893, 0.16200681556284427], 'relu', 3, 9, 'softmax')
([0.06324061496835202, 0.18371292307853698], 'relu', 4, 1, 'softmax')
([0.04832812181301415, 0.13912095456421375], 'relu', 4, 2, 'softmax')
([0.05974519393324852, 0.1871324621105194], 'relu', 4, 3, 'softmax')
([0.03172864757607807, 0.0776405940644443], 'relu', 4, 4, 'softmax')
([0.027292484255880118, 0.10432935841321946], 'relu', 4, 5, 'softmax')
([0.04708798018448637, 0.11726192736640573], 'relu', 4, 6, 'softmax')
([0.03133533120442122, 0.06376502577519044], 'relu', 4, 7, 'softmax')
([0.02787149792537093, 0.0955858986222744], 'relu', 4, 8, 'softmax')
([0.0248858331520114, 0.04907214025810361], 'relu', 4, 9, 'softmax')
([0.07141769266843796, 0.21311469205856323], 'relu', 5, 1, 'softmax')
([0.07141489991426468, 0.21310789455413817], 'relu', 5, 2, 'softmax')
([0.04936503841884434, 0.14732862588644027], 'relu', 5, 3, 'softmax')
([0.04906901161581278, 0.155369552590847], 'relu', 5, 4, 'softmax')
([0.03367348069745349, 0.07759483210489154], 'relu', 5, 5, 'softmax')
([0.04311212494656443, 0.12780942030370235], 'relu', 5, 6, 'softmax')
([0.04676976123556495, 0.14561604146420956], 'relu', 5, 7, 'softmax')
([0.0324108481002599, 0.07346784003138543], 'relu', 5, 8, 'softmax')
([0.05396861158013344, 0.16026780891895295], 'relu', 5, 9, 'softmax')
([0.055847994642853734, 0.17668491846323015], 'sigmoid', 1, 1, 'softmax')
([0.05705429178789258, 0.17598651266813278], 'sigmoid', 1, 2, 'softmax')
([0.05731172616958618, 0.17519118440151216], 'sigmoid', 1, 3, 'softmax')
([0.05573839376017451, 0.1735857996606827], 'sigmoid', 1, 4, 'softmax')
([0.05506932606011629, 0.1697053492951393], 'sigmoid', 1, 5, 'softmax')
([0.053962534586042166, 0.1616059000724554], 'sigmoid', 1, 6, 'softmax')
([0.05828067810721695, 0.16901257645606996], 'sigmoid', 1, 7, 'softmax')
([0.05180476188406348, 0.15944113114237785], 'sigmoid', 1, 8, 'softmax')
([0.05506214528858662, 0.16544847090482712], 'sigmoid', 1, 9, 'softmax')
([0.05763671573102474, 0.1690376582479477], 'sigmoid', 2, 1, 'softmax')
([0.053700769929885865, 0.16244096143245698], 'sigmoid', 2, 2, 'softmax')
([0.05632447656989097, 0.17680134244441986], 'sigmoid', 2, 3, 'softmax')
([0.05605456381946802, 0.16975359481096267], 'sigmoid', 2, 4, 'softmax')
([0.05436661172747612, 0.16904508808135987], 'sigmoid', 2, 5, 'softmax')
([0.05589732165873051, 0.16899976087093355], 'sigmoid', 2, 6, 'softmax')
([0.057307174348831175, 0.1708512385749817], 'sigmoid', 2, 7, 'softmax')
([0.05592641525387764, 0.17133677653312684], 'sigmoid', 2, 8, 'softmax')
([0.05034282516181469, 0.15622757279634475], 'sigmoid', 2, 9, 'softmax')
([0.0703040686428547, 0.20893322194099426], 'sigmoid', 3, 1, 'softmax')
([0.05794979905605316, 0.17539659360647203], 'sigmoid', 3, 2, 'softmax')
([0.0556090473562479, 0.16335121890068055], 'sigmoid', 3, 3, 'softmax')
([0.055374239397346973, 0.1736197154188156], 'sigmoid', 3, 4, 'softmax')
([0.05556567337334156, 0.16685711810588838], 'sigmoid', 3, 5, 'softmax')
([0.0552875539380312, 0.16901927809000014], 'sigmoid', 3, 6, 'softmax')
([0.05348545678913593, 0.16875405658960344], 'sigmoid', 3, 7, 'softmax')
([0.06123596789598465, 0.17515518864512444], 'sigmoid', 3, 8, 'softmax')
([0.05832423193752766, 0.17156026203989982], 'sigmoid', 3, 9, 'softmax')
([0.055518081035017965, 0.16796838200569153], 'sigmoid', 4, 1, 'softmax')
([0.05508193374574184, 0.16480127346515655], 'sigmoid', 4, 2, 'softmax')
([0.05474119389951229, 0.1614292764520645], 'sigmoid', 4, 3, 'softmax')
([0.054772350870966914, 0.15826604226350785], 'sigmoid', 4, 4, 'softmax')
([0.0552609508138895, 0.16134367365837096], 'sigmoid', 4, 5, 'softmax')
([0.060463863299489023, 0.17303545483112334], 'sigmoid', 4, 6, 'softmax')
([0.060390352562665936, 0.1727780329298973], 'sigmoid', 4, 7, 'softmax')
([0.05459894084453583, 0.16182411674022676], 'sigmoid', 4, 8, 'softmax')
([0.054275363646149634, 0.1599144567680359], 'sigmoid', 4, 9, 'softmax')
([0.057908131870627405, 0.177663125371933], 'sigmoid', 5, 1, 'softmax')
([0.05696166080951691, 0.1672174938726425], 'sigmoid', 5, 2, 'softmax')
([0.05482936588704586, 0.1590908677792549], 'sigmoid', 5, 3, 'softmax')
